5000 vertices, 7500 edges
1048: 4568 4810 2335 
1049: 3579 1145 2987 
1050: 771 987 3074 
1051: 2060 1937 3549 
1052: 331 741 1953 
1053: 615 2996 4788 
1054: 16 700 2605 
1055: 221 372 2349 
1056: 2302 1987 1811 
1057: 3354 4601 3805 
1058: 54 729 2305 
1059: 316 4817 4631 
1060: 4693 1175 1373 
1061: 3193 1715 3704 
1062: 4406 4323 2166 
1063: 1633 2823 4390 
1064: 544 600 2659 
1065: 3925 2139 1287 
1066: 4461 2916 1344 
1067: 674 2608 2825 
1068: 993 2560 2795 
1069: 4054 1626 1500 
1070: 3690 1421 3887 
1071: 4428 4478 1156 
1072: 325 664 4128 
1073: 4147 4377 3083 
1074: 3439 4458 3691 
1075: 8 1247 2068 
1076: 2064 3508 3161 
1077: 3882 1822 3000 
1078: 2846 2896 2027 
1079: 2192 4961 2083 
1080: 3170 3510 2656 
1081: 881 1495 1794 
1082: 881 4944 2510 
1083: 42 201 376 
1084: 219 457 2792 
1085: 279 1752 2509 
1086: 1299 2907 1688 
1087: 171 4080 3850 
1088: 2175 1505 4709 
1089: 2217 3040 2158 
1090: 2642 3499 2931 
1091: 1357 3696 1907 
1092: 660 1836 2171 
1093: 60 4796 4509 
1094: 120 1226 4954 
1095: 3050 3334 4677 
1096: 62 2998 3601 
1097: 117 326 509 
1098: 3817 3028 1335 
1099: 3087 1810 4301 
1100: 1285 3501 1539 
1101: 481 2810 1168 
1102: 2384 2996 1113 
1103: 327 2350 4637 
1104: 4855 4821 4473 
1105: 1569 2771 2436 
1106: 824 2051 3306 
1107: 286 733 3042 
1108: 1677 3953 3137 
1109: 3583 4243 4016 
1110: 2241 4855 2714 
1111: 3845 3767 1525 
1112: 2299 3207 3139 
1113: 291 1102 2557 
1114: 1004 1604 1413 
1115: 4445 2700 2298 
1116: 3716 3108 1208 
1117: 521 1905 1337 
